date,region,district,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
7/15/2003,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,10.85,0.1163
8/15/2003,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,8.5,0.0831
9/15/2003,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,9.33,0.0863
10/15/2003,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,17.36,0.1604
11/15/2003,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,16.67,0.1544
12/15/2003,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,14.43,0.1378
1/15/2004,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,20.69,0.1966
3/15/2004,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,22.59,0.2146
4/15/2004,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,17.74,0.1665
5/15/2004,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,13.62,0.125
6/15/2004,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,15.23,0.143
7/15/2004,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,15.88,0.1502
8/15/2004,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,18.12,0.1663
9/15/2004,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,19.19,0.1814
10/15/2004,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,17.45,0.165
11/15/2004,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,16.89,0.1597
12/15/2004,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,21.78,0.206
1/15/2005,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,19.82,0.1819
2/15/2005,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,20.4,0.1974
3/15/2005,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,15.37,0.1423
4/15/2005,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,16.13,0.1495
5/15/2005,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,17.82,0.1524
6/15/2005,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,21.93,0.1825
7/15/2005,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,23.8,0.1967
8/15/2005,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,24.27,0.1998
9/15/2005,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,26.89,0.2174
10/15/2005,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,33.31,0.2699
11/15/2005,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,38.24,0.3148
12/15/2005,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,39.01,0.3306
1/15/2006,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,45.87,0.3628
2/15/2006,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,62.91,0.473
3/15/2006,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,48.06,0.3755
4/15/2006,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,22.5,0.1658
5/15/2006,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,16.8,0.1251
6/15/2006,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,19.04,0.14
7/15/2006,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,20.45,0.1475
8/15/2006,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,20.2,0.1545
9/15/2006,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,20.67,0.1543
10/15/2006,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,22,0.1594
11/15/2006,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,22.2,0.167
12/15/2006,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,24,0.1788
1/15/2007,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,22.73,0.1699
2/15/2007,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,19,0.1411
3/15/2007,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,19.33,0.1431
4/15/2007,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,13.52,0.0965
5/15/2007,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,actual,Retail,MWK,9.5,0.0701
