year,month,date,region,district,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
2010,january,1/15/2010, Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,50.69,0.3076
2010,february,2/15/2010,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,56.69,0.3076
2010,march,3/15/2010,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,48.69,0.3076
2010,april,4/15/2010,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,39.67,0.2644
2010,may,5/15/2010,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,36.69,0.3076
2010,june,6/15/2010,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,30.65,0.2043
2010,july,7/15/2010,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,30.65,0.2043
2010,august,8/15/2010,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,31.42,0.2084
2010,september,9/15/2010,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,31.84,0.2116
2010,october,10/15/2010,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,30.05,0.1997
2010,november,11/15/2010,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,28.97,0.1931
2010,december,12/15/2010,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,31.27,0.2085
2011,january,1/15/2011,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,30.71,0.2037
