year,month,date,rainfall,temp
2010,january,1/15/2010,181,23.1
2010,february,2/15/2010,405.5,25.8
2010,march,3/15/2010,194.5,21.2
2010,april,4/15/2010,131.9,22.7
2010,may,5/15/2010,0,20.3
2010,june,6/15/2010,8.6,18
2010,july,7/15/2010,23.3,16
2010,august,8/15/2010,15.5,17.5
2010,september,9/15/2010,0.6,20
2010,october,10/15/2010,8.2,29
2010,november,11/15/2010,162.5,27
2010,december,12/15/2010,306.3,24
2011,january,1/15/2011,215.6,22
2011,february,2/15/2011,76.7,25.8
2011,march,3/15/2011,211.5,21.2
2011,april,4/15/2011,85.9,22.7
2011,may,5/15/2011,1.1,20.3
2011,june,6/15/2011,0.7,18
2011,july,7/15/2011,8.2,16
2011,august,8/15/2011,2,17.5
2011,september,9/15/2011,0,20
2011,october,10/15/2011,74,29
2011,november,11/15/2011,0,27
2011,december,12/15/2011,126.9,24
2012,january,1/15/2012,349.4,25
2012,february,2/15/2012,112.2,25.8
2012,march,3/15/2012,204.8,21.2
2012,april,4/15/2012,35.3,22.7
2012,may,5/15/2012,3.5,20.3
2012,june,6/15/2012,8,18
2012,july,7/15/2012,0,16
2012,august,8/15/2012,0.5,17.5
2012,september,9/15/2012,0,20
2012,october,10/15/2012,34.8,29
2012,november,11/15/2012,14.7,27
2012,december,12/15/2012,289.4,24
2013,january,1/15/2013,296,22.5
2013,february,2/15/2013,404.5,25.8
2013,march,3/15/2013,198.7,21.2
2013,april,4/15/2013,22.7,22.7
2013,may,5/15/2013,7.5,20.3
2013,june,6/15/2013,30.7,18
2013,july,7/15/2013,5.1,16
2013,august,8/15/2013,1.7,17.5
2013,september,9/15/2013,3.7,20
2013,october,10/15/2013,80.2,29
2013,november,11/15/2013,57.4,27
2013,december,12/15/2013,205.6,24
2014,january,1/15/2014,260.8,21.7
2014,february,2/15/2014,215.2,25.8
2014,march,3/15/2014,36.8,21.2
2014,april,4/15/2014,25,22.7
2014,may,5/15/2014,15.5,20.3
2014,june,6/15/2014,6.1,18
2014,july,7/15/2014,24.9,16
2014,august,8/15/2014,0,17.5
2014,september,9/15/2014,7.9,20
2014,october,10/15/2014,9.7,29
2014,november,11/15/2014,1.2,27
2014,december,12/15/2014,209.9,24
2015,january,1/15/2015,886.9,23
2015,february,2/15/2015,216.9,24.6
2015,march,3/15/2015,89.5,22.5
2015,april,4/15/2015,131.1,23.8
2015,may,5/15/2015,0.7,20
2015,june,6/15/2015,2.5,17
2015,july,7/15/2015,0,15
2015,august,8/15/2015,0,16.2
2015,september,9/15/2015,2,20.7
2015,october,10/15/2015,18.9,30.1
2015,november,11/15/2015,39.7,28.9
2015,december,12/15/2015,194.6,31
2016,january,1/15/2016,201.2,24
2016,february,2/15/2016,215.1,25.8
2016,march,3/15/2016,105.5,21.2
2016,april,4/15/2016,14.8,22.7
2016,may,5/15/2016,6.1,20.3
2016,june,6/15/2016,7.4,18
2016,july,7/15/2016,25,16
2016,august,8/15/2016,1.5,17.5
2016,september,9/15/2016,0,20
2016,october,10/15/2016,10.6,29
2016,november,11/15/2016,146.4,27
2016,december,12/15/2016,219.6,24
2017,january,1/15/2017,209.3,21
2017,february,2/15/2017,180.7,21
2017,march,3/15/2017,131.4,26
2017,april,4/15/2017,89.7,24
2017,may,5/15/2017,5.6,17
2017,june,6/15/2017,0.1,18
2017,july,7/15/2017,1.5,15
2017,august,8/15/2017,1.9,16.5
2017,september,9/15/2017,0,17
2017,october,10/15/2017,21.2,25
2017,november,11/15/2017,114.4,27.1
2017,december,12/15/2017,198.8,25.3
2018,january,1/15/2018,115.8,21
2018,february,2/15/2018,263.5,21
2018,march,3/15/2018,78.6,26
2018,april,4/15/2018,130.6,24
2018,may,5/15/2018,11,17
2018,june,6/15/2018,20,18
2018,july,7/15/2018,270,16
2018,august,8/15/2018,0,24
2018,september,9/15/2018,7.9,25.4
2018,october,10/15/2018,29.4,28
2018,november,11/15/2018,127.8,31
2018,december,12/15/2018,420.5,28.8
2019,january,1/15/2019,415,21
2019,february,2/15/2019,162.2,21
2019,march,3/15/2019,369.1,26
2019,april,4/15/2019,66.6,24
2019,may,5/15/2019,16.4,17
2019,june,6/15/2019,13.6,18
2019,july,7/15/2019,8.5,20
2019,august,8/15/2019,5,22.4
2019,september,9/15/2019,3.7,25
2019,october,10/15/2019,26.6,29
2019,november,11/15/2019,124.6,29.6
2019,december,12/15/2019,212.9,25
2020,january,1/15/2020,532,26
2020,february,2/15/2020,194.7,25.8
2020,march,3/15/2020,27.1,21.2
2020,april,4/15/2020,14.8,22.7
2020,may,5/15/2020,11.8,20.3
2020,june,6/15/2020,1.2,18
2020,july,7/15/2020,21.7,16
2020,august,8/15/2020,1.5,17.5
2020,september,9/15/2020,0,20
2020,october,10/15/2020,0,29
2020,november,11/15/2020,68,27
2020,december,12/15/2020,102.9,24
2021,january,1/15/2021,290.7,24.8
2021,february,2/15/2021,247.5,25.8
2021,march,3/15/2021,102.3,21.2
2021,april,4/15/2021,17.6,22.7
2021,may,5/15/2021,4.9,20.3
2021,june,6/15/2021,5.6,18
2021,july,7/15/2021,17.7,16
2021,august,8/15/2021,0.3,17.5
2021,september,9/15/2021,0,20
2021,october,10/15/2021,16.4,29
2021,november,11/15/2021,52.1,27
2021,december,12/15/2021,85.3,24
2022,january,1/15/2022,573.7,25.4
2022,february,2/15/2022,268.1,27
2022,march,3/15/2022,216.6,22.2
2022,april,4/15/2022,43.5,25
2022,may,5/15/2022,0,19.3
2022,june,6/15/2022,35.2,21
2022,july,7/15/2022,0.9,21
2022,august,8/15/2022,3.6,17
