Year,Month,Rainfall,Temp
1990,Jan,302.3,25.4
1990,Feb,109.9,27
1990,Mar,30.1,22.2
1990,Apr,22,25
1990,May,40.1,19.3
1990,Jun,10.2,21
1990,Jul,1.1,21
1990,Aug,9.8,17
1990,Sep,1.7,26
1990,Oct,3.8,25
1990,Nov,80.5,22
1990,Dec,100.1,27
1991,Jan,198.3,25.5
1991,Feb,252,27
1991,Mar,182.2,21
1991,Apr,36.4,23.7
1991,May,1.1,19.6
1991,Jun,6.8,19
1991,Jul,13,20
1991,Aug,4.4,18.5
1991,Sep,1.7,25
1991,Oct,54.6,29
1991,Nov,105.8,23
1991,Dec,166,25.4
1992,Jan,206.7,24.9
1992,Feb,9,25.8
1992,Mar,118.7,21.2
1992,Apr,90.5,22.7
1992,May,1.7,20.3
1992,Jun,15.8,18
1992,Jul,7.8,16
1992,Aug,21.1,17.5
1992,Sep,0,20
1992,Oct,13.2,29
1992,Nov,76.3,27
1992,Dec,169,24
1993,Jan,426.1,25.4
1993,Feb,247,27
1993,Mar,123.4,22.2
1993,Apr,467.7,25
1993,May,3.3,19.3
1993,Jun,49.1,21
1993,Jul,11.5,21
1993,Aug,9,17
1993,Sep,2.8,26
1993,Oct,45.5,25
1993,Nov,79.3,22
1993,Dec,125.2,27
1994,Jan,330.7,25.4
1994,Feb,207.1,27
1994,Mar,150.2,22.2
1994,Apr,70.9,25
1994,May,0.7,19.3
1994,Jun,7.9,21
1994,Jul,0,21
1994,Aug,0,17
1994,Sep,83,26
1994,Oct,0,25
1994,Nov,27,22
1994,Dec,131.1,27
1995,Jan,257.2,23.5
1995,Feb,130.7,22.6
1995,Mar,28.2,22.7
1995,Apr,7.6,24.2
1995,May,20.7,26
1995,Jun,10,24.25
1995,Jul,7.9,23.25
1995,Aug,0,21.6
1995,Sep,0,30
1995,Oct,0,29.2
1995,Nov,184.6,27.5
1995,Dec,421,26.2
1996,Jan,211.7,23.5
1996,Feb,269.2,22.6
1996,Mar,126.2,22.7
1996,Apr,32.8,24.2
1996,May,8.9,26
