,year,month,date,region,district,market,commodity,price
72,2010,january,2010-01-15T00:00:00.000, Southern Region,Blantyre,Lunzu,Maize (new harvest),50.69
73,2010,february,2010-02-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),56.69
74,2010,march,2010-03-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),48.69
75,2010,april,2010-04-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),39.67
76,2010,may,2010-05-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),36.69
77,2010,june,2010-06-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),30.65
78,2010,july,2010-07-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),30.65
79,2010,august,2010-08-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),31.42
80,2010,september,2010-09-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),31.84
81,2010,october,2010-10-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),30.05
82,2010,november,2010-11-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),28.97
83,2010,december,2010-12-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),31.27
84,2011,january,2011-01-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),30.71
85,2011,february,2011-02-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),35.14
86,2011,march,2011-03-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),39.6
87,2011,april,2011-04-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),30.23
88,2011,may,2011-05-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),27.8
89,2011,june,2011-06-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),27.63
90,2011,july,2011-07-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),29.63
91,2011,august,2011-08-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),34.6
92,2011,september,2011-09-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),36.6
93,2011,october,2011-10-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),40.85
94,2011,november,2011-11-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),42.7
95,2011,december,2011-12-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),45.7
96,2012,january,2012-01-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),62.89
97,2012,february,2012-02-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),50.25
98,2012,march,2012-03-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),49.46
99,2012,april,2012-04-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),41.09
100,2012,may,2012-05-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),43.8
101,2012,june,2012-06-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),64
102,2012,july,2012-07-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),62.16
103,2012,august,2012-08-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),67.65
104,2012,september,2012-09-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),63.66
105,2012,october,2012-10-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),58.05
106,2012,november,2012-11-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),63.75
107,2012,december,2012-12-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),84.5
108,2013,january,2013-01-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),92.06
109,2013,february,2013-02-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),126.75
110,2013,march,2013-03-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),175.53
111,2013,april,2013-04-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),106.2
112,2013,may,2013-05-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),81.98
113,2013,june,2013-06-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),90.32
